method,threshold,image_threshold,text_threshold,tp,fp,tn,fn,precision,recall,f1,positive_labels
naive_union,,0.01,0.4,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.41,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.42,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.43,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.44,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.45,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.46,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.47,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.48,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.49,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.5,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.51,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.52,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.53,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.54,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.55,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.56,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.57,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.58,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.59,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.6,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.61,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.62,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.63,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.64,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.65,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.66,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.67,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.68,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.69,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.7,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.71,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.72,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.73,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.74,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.75,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.76,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
